login,link,followers,following,follow_ratio,public_repos,contributions,stars,total_size,user_feedback,aura,most_popular_repo_forked
grishaeva,https://github.com/grishaeva,5.0,0.0,0.0,1.0,1.0,0.0,408960.0,0,0,True
Mack1947,https://github.com/Mack1947,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8000,
goldenberg,https://github.com/goldenberg,23.0,8.0,2.875,14.0,20.0,15.0,409907.0,0,5,False
soscs,https://github.com/soscs,4.0,1.0,4.0,13.0,0.0,2.0,434155.0,0,500,False
mosenduyu,https://github.com/mosenduyu,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8753,
tramamte,https://github.com/tramamte,3.0,0.0,0.0,5.0,21.0,2.0,43218.0,0,55,False
verbalcalculus,https://github.com/verbalcalculus,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4000,
nrazmehr,https://github.com/nrazmehr,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7235,
csakshaug,https://github.com/csakshaug,28.0,118.0,0.2372881355932203,0.0,2072.0,0.0,0.0,0,400,
hugosantosred,https://github.com/hugosantosred,34.0,15.0,2.2666666666666666,32.0,13.0,17.0,2578403.0,0,-2739,False
hinjk,https://github.com/hinjk,3.0,0.0,0.0,1.0,0.0,0.0,56.0,0,-3283,True
steveruckdashel,https://github.com/steveruckdashel,7.0,5.0,1.4,60.0,8.0,1.0,1134727.0,0,-834,False
wilsonmar,https://github.com/wilsonmar,545.0,227.0,2.4008810572687223,456.0,1373.0,37.0,352094.0,0,37472,False
gmc74,https://github.com/gmc74,3.0,0.0,0.0,2.0,0.0,0.0,148.0,0,-550,False
bprotas,https://github.com/bprotas,9.0,7.0,1.2857142857142858,36.0,0.0,4.0,512786.0,0,-12842,True
ijohannessen,https://github.com/ijohannessen,3.0,0.0,0.0,2.0,0.0,1.0,4135.0,0,-364,True
testgit2,https://github.com/testgit2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
NSGH01,https://github.com/NSGH01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3468,
aritasimoes,https://github.com/aritasimoes,1.0,0.0,0.0,2.0,0.0,0.0,18654.0,0,158,True
ocurra,https://github.com/ocurra,1.0,0.0,0.0,1.0,0.0,1.0,48.0,0,-100,False
NSky,https://github.com/NSky,3.0,0.0,0.0,2.0,0.0,7.0,101268.0,0,550,False
mfholdfield,https://github.com/mfholdfield,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7532,
